Date,^IXIC,Rate
1985-07-31,301.3,1.72
1985-08-31,297.7,-1.19
1985-09-30,280.3,-5.84
1985-10-31,292.5,4.35
1985-11-30,314.0,7.35
1985-12-31,324.9,3.47
1986-01-31,335.8,3.35
1986-02-28,359.5,7.06
1986-03-31,374.7,4.23
1986-04-30,383.2,2.27
1986-05-31,400.2,4.44
1986-06-30,405.5,1.32
1986-07-31,371.4,-8.41
1986-08-31,382.9,3.1
1986-09-30,350.7,-8.41
1986-10-31,360.8,2.88
1986-11-30,359.6,-0.33
1986-12-31,348.8,-3.0
1987-01-31,392.1,12.41
1987-02-28,425.0,8.39
1987-03-31,430.1,1.2
1987-04-30,417.8,-2.86
1987-05-31,416.5,-0.31
1987-06-30,424.7,1.97
1987-07-31,434.9,2.4
1987-08-31,455.0,4.62
1987-09-30,444.3,-2.35
1987-10-31,323.3,-27.23
1987-11-30,305.2,-5.6
1987-12-31,330.5,8.29
1988-01-31,344.7,4.3
1988-02-29,367.0,6.47
1988-03-31,374.6,2.07
1988-04-30,379.2,1.23
1988-05-31,370.3,-2.35
1988-06-30,394.7,6.59
1988-07-31,387.3,-1.87
1988-08-31,376.6,-2.76
1988-09-30,387.7,2.95
1988-10-31,382.5,-1.34
1988-11-30,371.5,-2.88
1988-12-31,381.4,2.66
1989-01-31,401.3,5.22
1989-02-28,399.7,-0.4
1989-03-31,406.7,1.75
1989-04-30,427.6,5.14
1989-05-31,446.2,4.35
1989-06-30,435.3,-2.44
1989-07-31,453.8,4.25
1989-08-31,469.3,3.42
1989-09-30,472.9,0.77
1989-10-31,455.6,-3.66
1989-11-30,456.1,0.11
1989-12-31,454.8,-0.29
1990-01-31,415.8,-8.58
1990-02-28,425.8,2.41
1990-03-31,435.5,2.28
1990-04-30,420.1,-3.54
1990-05-31,459.0,9.26
1990-06-30,462.3,0.72
1990-07-31,438.2,-5.21
1990-08-31,381.2,-13.01
1990-09-30,344.5,-9.63
1990-10-31,329.8,-4.27
1990-11-30,359.1,8.88
1990-12-31,373.8,4.09
1991-01-31,414.2,10.81
1991-02-28,453.1,9.39
1991-03-31,482.3,6.44
1991-04-30,484.72,0.5
1991-05-31,506.11,4.41
1991-06-30,475.92,-5.97
1991-07-31,502.04,5.49
1991-08-31,525.68,4.71
1991-09-30,526.88,0.23
1991-10-31,542.98,3.06
1991-11-30,523.9,-3.51
1991-12-31,586.34,11.92
1992-01-31,620.21,5.78
1992-02-29,633.47,2.14
1992-03-31,603.77,-4.69
1992-04-30,578.68,-4.16
1992-05-31,585.31,1.15
1992-06-30,563.6,-3.71
1992-07-31,580.83,3.06
1992-08-31,563.12,-3.05
1992-09-30,583.27,3.58
1992-10-31,605.17,3.75
1992-11-30,652.73,7.86
1992-12-31,676.95,3.71
1993-01-31,696.34,2.86
1993-02-28,670.77,-3.67
1993-03-31,690.13,2.89
1993-04-30,661.42,-4.16
1993-05-31,700.53,5.91
1993-06-30,703.95,0.49
1993-07-31,704.7,0.11
1993-08-31,742.84,5.41
1993-09-30,762.78,2.68
1993-10-31,779.26,2.16
1993-11-30,754.39,-3.19
1993-12-31,776.8,2.97
1994-01-31,800.47,3.05
1994-02-28,792.5,-1.0
1994-03-31,743.46,-6.19
1994-04-30,733.84,-1.29
1994-05-31,735.19,0.18
1994-06-30,705.96,-3.98
1994-07-31,722.16,2.29
1994-08-31,765.62,6.02
1994-09-30,764.29,-0.17
1994-10-31,777.49,1.73
1994-11-30,750.32,-3.49
1994-12-31,751.96,0.22
1995-01-31,755.2,0.43
1995-02-28,793.73,5.1
1995-03-31,817.21,2.96
1995-04-30,843.98,3.28
1995-05-31,864.58,2.44
1995-06-30,933.45,7.97
1995-07-31,1001.21,7.26
1995-08-31,1020.11,1.89
1995-09-30,1043.54,2.3
1995-10-31,1036.06,-0.72
1995-11-30,1059.2,2.23
1995-12-31,1052.13,-0.67
1996-01-31,1059.79,0.73
1996-02-29,1100.05,3.8
1996-03-31,1101.4,0.12
1996-04-30,1190.52,8.09
1996-05-31,1243.43,4.44
1996-06-30,1185.02,-4.7
1996-07-31,1080.59,-8.81
1996-08-31,1141.5,5.64
1996-09-30,1226.92,7.48
1996-10-31,1221.51,-0.44
1996-11-30,1292.61,5.82
1996-12-31,1291.03,-0.12
1997-01-31,1379.85,6.88
1997-02-28,1309.0,-5.13
1997-03-31,1221.7,-6.67
1997-04-30,1260.76,3.2
1997-05-31,1400.32,11.07
1997-06-30,1442.07,2.98
1997-07-31,1593.81,10.52
1997-08-31,1587.32,-0.41
1997-09-30,1685.69,6.2
1997-10-31,1593.61,-5.46
1997-11-30,1600.55,0.44
1997-12-31,1570.35,-1.89
1998-01-31,1619.36,3.12
1998-02-28,1770.51,9.33
1998-03-31,1835.68,3.68
1998-04-30,1868.41,1.78
1998-05-31,1778.87,-4.79
1998-06-30,1894.74,6.51
1998-07-31,1872.39,-1.18
1998-08-31,1499.25,-19.93
1998-09-30,1693.84,12.98
1998-10-31,1771.39,4.58
1998-11-30,1949.54,10.06
1998-12-31,2192.69,12.47
1999-01-31,2505.89,14.28
1999-02-28,2288.03,-8.69
1999-03-31,2461.4,7.58
1999-04-30,2542.86,3.31
1999-05-31,2470.52,-2.84
1999-06-30,2686.12,8.73
1999-07-31,2638.49,-1.77
1999-08-31,2739.35,3.82
1999-09-30,2746.16,0.25
1999-10-31,2966.43,8.02
1999-11-30,3336.16,12.46
1999-12-31,4069.31,21.98
2000-01-31,3940.35,-3.17
2000-02-29,4696.69,19.19
2000-03-31,4572.83,-2.64
2000-04-30,3860.66,-15.57
2000-05-31,3400.91,-11.91
2000-06-30,3966.11,16.62
2000-07-31,3766.99,-5.02
2000-08-31,4206.35,11.66
2000-09-30,3672.82,-12.68
2000-10-31,3369.63,-8.25
2000-11-30,2597.93,-22.9
2000-12-31,2470.52,-4.9
2001-01-31,2772.73,12.23
2001-02-28,2151.83,-22.39
2001-03-31,1840.26,-14.48
2001-04-30,2116.24,15.0
2001-05-31,2110.49,-0.27
2001-06-30,2160.54,2.37
2001-07-31,2027.13,-6.17
2001-08-31,1805.43,-10.94
2001-09-30,1498.8,-16.98
2001-10-31,1690.2,12.77
2001-11-30,1930.58,14.22
2001-12-31,1950.4,1.03
2002-01-31,1934.03,-0.84
2002-02-28,1731.49,-10.47
2002-03-31,1845.35,6.58
2002-04-30,1688.23,-8.51
2002-05-31,1615.73,-4.29
2002-06-30,1463.21,-9.44
2002-07-31,1328.26,-9.22
2002-08-31,1314.85,-1.01
2002-09-30,1172.06,-10.86
2002-10-31,1329.75,13.45
2002-11-30,1478.78,11.21
2002-12-31,1335.51,-9.69
2003-01-31,1320.91,-1.09
2003-02-28,1337.52,1.26
2003-03-31,1341.17,0.27
2003-04-30,1464.31,9.18
2003-05-31,1595.91,8.99
2003-06-30,1622.8,1.68
2003-07-31,1735.02,6.92
2003-08-31,1810.45,4.35
2003-09-30,1786.94,-1.3
2003-10-31,1932.21,8.13
2003-11-30,1960.26,1.45
2003-12-31,2003.37,2.2
2004-01-31,2066.15,3.13
2004-02-29,2029.82,-1.76
2004-03-31,1994.22,-1.75
2004-04-30,1920.15,-3.71
2004-05-31,1986.74,3.47
2004-06-30,2047.79,3.07
2004-07-31,1887.36,-7.83
2004-08-31,1838.1,-2.61
2004-09-30,1896.84,3.2
2004-10-31,1974.99,4.12
2004-11-30,2096.81,6.17
2004-12-31,2175.44,3.75
2005-01-31,2062.41,-5.2
2005-02-28,2051.72,-0.52
2005-03-31,1999.23,-2.56
2005-04-30,1921.65,-3.88
2005-05-31,2068.22,7.63
2005-06-30,2056.96,-0.54
2005-07-31,2184.83,6.22
2005-08-31,2152.09,-1.5
2005-09-30,2151.69,-0.02
2005-10-31,2120.3,-1.46
2005-11-30,2232.82,5.31
2005-12-31,2205.32,-1.23
2006-01-31,2305.82,4.56
2006-02-28,2281.39,-1.06
2006-03-31,2339.79,2.56
2006-04-30,2322.57,-0.74
2006-05-31,2178.88,-6.19
2006-06-30,2172.09,-0.31
2006-07-31,2091.47,-3.71
2006-08-31,2183.75,4.41
2006-09-30,2258.43,3.42
2006-10-31,2366.71,4.79
2006-11-30,2431.77,2.75
2006-12-31,2415.29,-0.68
2007-01-31,2463.93,2.01
2007-02-28,2416.15,-1.94
2007-03-31,2421.64,0.23
2007-04-30,2525.09,4.27
2007-05-31,2604.52,3.15
2007-06-30,2603.23,-0.05
2007-07-31,2546.27,-2.19
2007-08-31,2596.36,1.97
2007-09-30,2701.5,4.05
2007-10-31,2859.12,5.83
2007-11-30,2660.96,-6.93
2007-12-31,2652.28,-0.33
2008-01-31,2389.86,-9.89
2008-02-29,2271.48,-4.95
2008-03-31,2279.1,0.34
2008-04-30,2412.8,5.87
2008-05-31,2522.66,4.55
2008-06-30,2292.98,-9.1
2008-07-31,2325.55,1.42
2008-08-31,2367.52,1.8
2008-09-30,2091.88,-11.64
2008-10-31,1720.95,-17.73
2008-11-30,1535.57,-10.77
2008-12-31,1577.03,2.7
2009-01-31,1476.42,-6.38
2009-02-28,1377.84,-6.68
2009-03-31,1528.59,10.94
2009-04-30,1717.3,12.35
2009-05-31,1774.33,3.32
2009-06-30,1835.04,3.42
2009-07-31,1978.5,7.82
2009-08-31,2009.06,1.54
2009-09-30,2122.42,5.64
2009-10-31,2045.11,-3.64
2009-11-30,2144.6,4.86
2009-12-31,2269.15,5.81
2010-01-31,2147.35,-5.37
2010-02-28,2238.26,4.23
2010-03-31,2397.96,7.14
2010-04-30,2461.19,2.64
2010-05-31,2257.04,-8.29
2010-06-30,2109.24,-6.55
2010-07-31,2254.7,6.9
2010-08-31,2114.03,-6.24
2010-09-30,2368.62,12.04
2010-10-31,2507.41,5.86
2010-11-30,2498.23,-0.37
2010-12-31,2652.87,6.19
2011-01-31,2700.08,1.78
2011-02-28,2782.27,3.04
2011-03-31,2781.07,-0.04
2011-04-30,2873.54,3.32
2011-05-31,2835.3,-1.33
2011-06-30,2773.52,-2.18
2011-07-31,2756.38,-0.62
2011-08-31,2579.46,-6.42
2011-09-30,2415.4,-6.36
2011-10-31,2684.41,11.14
2011-11-30,2620.34,-2.39
2011-12-31,2605.15,-0.58
2012-01-31,2813.84,8.01
2012-02-29,2966.89,5.44
2012-03-31,3091.57,4.2
2012-04-30,3046.36,-1.46
2012-05-31,2827.34,-7.19
2012-06-30,2935.05,3.81
2012-07-31,2939.52,0.15
2012-08-31,3066.96,4.34
2012-09-30,3116.23,1.61
2012-10-31,2977.23,-4.46
2012-11-30,3010.24,1.11
2012-12-31,3019.51,0.31
2013-01-31,3142.13,4.06
2013-02-28,3160.19,0.57
2013-03-31,3267.52,3.4
2013-04-30,3328.79,1.88
2013-05-31,3455.91,3.82
2013-06-30,3403.25,-1.52
2013-07-31,3626.37,6.56
2013-08-31,3589.87,-1.01
2013-09-30,3771.48,5.06
2013-10-31,3919.71,3.93
2013-11-30,4059.89,3.58
2013-12-31,4176.59,2.87
2014-01-31,4103.88,-1.74
2014-02-28,4308.12,4.98
2014-03-31,4198.99,-2.53
2014-04-30,4114.56,-2.01
2014-05-31,4242.62,3.11
2014-06-30,4408.18,3.9
2014-07-31,4369.77,-0.87
2014-08-31,4580.27,4.82
2014-09-30,4493.39,-1.9
2014-10-31,4630.74,3.06
2014-11-30,4791.63,3.47
2014-12-31,4736.05,-1.16
2015-01-31,4635.24,-2.13
2015-02-28,4963.53,7.08
2015-03-31,4900.88,-1.26
2015-04-30,4941.42,0.83
2015-05-31,5070.03,2.6
2015-06-30,4986.87,-1.64
2015-07-31,5128.28,2.84
2015-08-31,4776.51,-6.86
2015-09-30,4620.16,-3.27
2015-10-31,5053.75,9.38
2015-11-30,5108.67,1.09
2015-12-31,5007.41,-1.98
2016-01-31,4613.95,-7.86
2016-02-29,4557.95,-1.21
2016-03-31,4869.85,6.84
2016-04-30,4775.36,-1.94
2016-05-31,4948.05,3.62
2016-06-30,4842.67,-2.13
2016-07-31,5162.13,6.6
2016-08-31,5213.22,0.99
2016-09-30,5312.0,1.89
2016-10-31,5189.14,-2.31
2016-11-30,5323.68,2.59
2016-12-31,5383.12,1.12
2017-01-31,5614.79,4.3
2017-02-28,5825.44,3.75
2017-03-31,5911.74,1.48
2017-04-30,6047.61,2.3
2017-05-31,6198.52,2.5
2017-06-30,6140.42,-0.94
2017-07-31,6348.12,3.38
2017-08-31,6428.66,1.27
2017-09-30,6495.96,1.05
2017-10-31,6727.67,3.57
2017-11-30,6873.97,2.17
2017-12-31,6903.39,0.43
2018-01-31,7411.48,7.36
2018-02-28,7273.01,-1.87
2018-03-31,7063.45,-2.88
2018-04-30,7066.27,0.04
2018-05-31,7442.12,5.32
2018-06-30,7510.3,0.92
2018-07-31,7671.79,2.15
2018-08-31,8109.54,5.71
2018-09-30,8046.35,-0.78
2018-10-31,7305.9,-9.2
2018-11-30,7330.54,0.34
2018-12-31,6635.28,-9.48
2019-01-31,7281.74,9.74
2019-02-28,7532.53,3.44
2019-03-31,7729.32,2.61
2019-04-30,8095.39,4.74
2019-05-31,7453.15,-7.93
2019-06-30,8006.24,7.42
2019-07-31,8175.42,2.11
2019-08-31,7962.88,-2.6
2019-09-30,7999.34,0.46
2019-10-31,8292.36,3.66
2019-11-30,8665.47,4.5
2019-12-31,8972.6,3.54
2020-01-31,9150.94,1.99
2020-02-29,8567.37,-6.38
2020-03-31,7700.1,-10.12
2020-04-30,8889.55,15.45
2020-05-31,9489.87,6.75
2020-06-30,10058.77,5.99
2020-07-31,10745.27,6.82
2020-08-31,11775.46,9.59
2020-09-30,11167.51,-5.16
2020-10-31,10911.59,-2.29
2020-11-30,12198.74,11.8
2020-12-31,12888.28,5.65
2021-01-31,13070.69,1.42
2021-02-28,13192.35,0.93
2021-03-31,13246.87,0.41
2021-04-30,13962.68,5.4
2021-05-31,13748.74,-1.53
2021-06-30,14503.95,5.49
2021-07-31,14672.68,1.16
2021-08-31,15259.24,4.0
2021-09-30,14448.58,-5.31
2021-10-31,15498.39,7.27
2021-11-30,15537.69,0.25
2021-12-31,15644.97,0.69
2022-01-31,14239.88,-8.98
2022-02-28,13751.4,-3.43
2022-03-31,14220.52,3.41
2022-04-30,12334.64,-13.26
2022-05-31,12081.39,-2.05
2022-06-30,11028.74,-8.71
2022-07-31,12390.69,12.35
2022-08-31,11816.2,-4.64
2022-09-30,10575.62,-10.5
2022-10-31,10988.15,3.9
2022-11-30,11468.0,4.37
2022-12-31,10466.48,-8.73
2023-01-31,11584.55,10.68
2023-02-28,11455.54,-1.11
2023-03-31,12221.91,6.69
2023-04-30,12226.58,0.04
2023-05-31,12935.29,5.8
2023-06-30,13787.92,6.59
2023-07-31,14346.02,4.05
2023-08-31,14034.97,-2.17
2023-09-30,13219.32,-5.81
2023-10-31,12851.24,-2.78
2023-11-30,14226.22,10.7
2023-12-31,15011.35,5.52
2024-01-31,15164.01,1.02
2024-02-29,16091.92,6.12
2024-03-31,16379.46,1.79
2024-04-30,15657.82,-4.41
2024-05-31,16735.02,6.88
2024-06-30,17732.6,5.96
2024-07-31,17599.4,-0.75
2024-08-31,17713.62,0.65
2024-09-30,18189.17,2.68
2024-10-31,18095.15,-0.52
2024-11-30,19218.17,6.21
2024-12-31,19310.79,0.48
2025-01-31,19627.44,1.64
2025-02-28,18847.28,-3.97
2025-03-31,17299.29,-8.21
2025-04-30,17446.34,0.85
2025-05-31,19113.77,9.56
2025-06-30,19630.97,2.71
