Date,^HSI,Rate
1998-02-28,11480.7,24.08
1998-03-31,11518.7,0.33
1998-04-30,10383.68,-9.85
1998-05-31,8934.56,-13.96
1998-06-30,8543.1,-4.38
1998-07-31,7936.2,-7.1
1998-08-31,7275.04,-8.33
1998-09-30,7883.46,8.36
1998-10-31,10154.94,28.81
1998-11-30,10402.32,2.44
1998-12-31,10048.58,-3.4
1999-01-31,9506.9,-5.39
1999-02-28,9858.49,3.7
1999-03-31,10942.2,10.99
1999-04-30,13333.2,21.85
1999-05-31,12147.12,-8.9
1999-06-30,13532.14,11.4
1999-07-31,13186.86,-2.55
1999-08-31,13482.77,2.24
1999-09-30,12733.24,-5.56
1999-10-31,13256.95,4.11
1999-11-30,15377.19,15.99
1999-12-31,16962.1,10.31
2000-01-31,15532.34,-8.43
2000-02-29,17169.44,10.54
2000-03-31,17406.54,1.38
2000-04-30,15519.3,-10.84
2000-05-31,14713.86,-5.19
2000-06-30,16155.78,9.8
2000-07-31,16840.98,4.24
2000-08-31,17097.51,1.52
2000-09-30,15648.98,-8.47
2000-10-31,14895.34,-4.82
2000-11-30,13984.39,-6.12
2000-12-31,15095.53,7.95
2001-01-31,16102.35,6.67
2001-02-28,14787.87,-8.16
2001-03-31,12760.64,-13.71
2001-04-30,13386.04,4.9
2001-05-31,13174.41,-1.58
2001-06-30,13042.53,-1.0
2001-07-31,12316.69,-5.57
2001-08-31,11090.48,-9.96
2001-09-30,9950.7,-10.28
2001-10-31,10073.97,1.24
2001-11-30,11279.25,11.96
2001-12-31,11397.21,1.05
2002-01-31,10725.3,-5.9
2002-02-28,10482.55,-2.26
2002-03-31,11032.92,5.25
2002-04-30,11497.58,4.21
2002-05-31,11301.94,-1.7
2002-06-30,10598.55,-6.22
2002-07-31,10267.36,-3.12
2002-08-31,10043.87,-2.18
2002-09-30,9072.21,-9.67
2002-10-31,9441.25,4.07
2002-11-30,10069.87,6.66
2002-12-31,9321.29,-7.43
2003-01-31,9258.95,-0.67
2003-02-28,9122.66,-1.47
2003-03-31,8634.45,-5.35
2003-04-30,8717.22,0.96
2003-05-31,9487.38,8.83
2003-06-30,9577.12,0.95
2003-07-31,10134.83,5.82
2003-08-31,10908.99,7.64
2003-09-30,11229.87,2.94
2003-10-31,12190.1,8.55
2003-11-30,12317.47,1.04
2003-12-31,12575.94,2.1
2004-01-31,13289.37,5.67
2004-02-29,13907.03,4.65
2004-03-31,12681.67,-8.81
2004-04-30,11942.96,-5.83
2004-05-31,12198.24,2.14
2004-06-30,12285.75,0.72
2004-07-31,12238.03,-0.39
2004-08-31,12850.28,5.0
2004-09-30,13120.03,2.1
2004-10-31,13054.66,-0.5
2004-11-30,14060.05,7.7
2004-12-31,14230.14,1.21
2005-01-31,13721.69,-3.57
2005-02-28,14195.35,3.45
2005-03-31,13516.88,-4.78
2005-04-30,13908.97,2.9
2005-05-31,13867.07,-0.3
2005-06-30,14201.06,2.41
2005-07-31,14880.98,4.79
2005-08-31,14903.55,0.15
2005-09-30,15428.52,3.52
2005-10-31,14386.37,-6.75
2005-11-30,14937.14,3.83
2005-12-31,14876.43,-0.41
2006-01-31,15753.14,5.89
2006-02-28,15918.48,1.05
2006-03-31,15805.04,-0.71
2006-04-30,16661.3,5.42
2006-05-31,15857.89,-4.82
2006-06-30,16267.62,2.58
2006-07-31,16971.34,4.33
2006-08-31,17392.27,2.48
2006-09-30,17543.05,0.87
2006-10-31,18324.35,4.45
2006-11-30,18960.48,3.47
2006-12-31,19964.72,5.3
2007-01-31,20106.42,0.71
2007-02-28,19651.51,-2.26
2007-03-31,19800.93,0.76
2007-04-30,20318.98,2.62
2007-05-31,20634.47,1.55
2007-06-30,21772.73,5.52
2007-07-31,23184.94,6.49
2007-08-31,23984.14,3.45
2007-09-30,27142.47,13.17
2007-10-31,31352.58,15.51
2007-11-30,28643.61,-8.64
2007-12-31,27812.65,-2.9
2008-01-31,23455.74,-15.67
2008-02-29,24331.67,3.73
2008-03-31,22849.2,-6.09
2008-04-30,25755.35,12.72
2008-05-31,24533.12,-4.75
2008-06-30,22102.01,-9.91
2008-07-31,22731.1,2.85
2008-08-31,21261.89,-6.46
2008-09-30,18016.21,-15.27
2008-10-31,13968.67,-22.47
2008-11-30,13888.24,-0.58
2008-12-31,14387.48,3.59
2009-01-31,13278.21,-7.71
2009-02-28,12811.57,-3.51
2009-03-31,13576.02,5.97
2009-04-30,15520.99,14.33
2009-05-31,18171.0,17.07
2009-06-30,18378.73,1.14
2009-07-31,20573.33,11.94
2009-08-31,19724.19,-4.13
2009-09-30,20955.25,6.24
2009-10-31,21752.87,3.81
2009-11-30,21821.5,0.32
2009-12-31,21872.5,0.23
2010-01-31,20121.99,-8.0
2010-02-28,20608.7,2.42
2010-03-31,21239.35,3.06
2010-04-30,21108.59,-0.62
2010-05-31,19765.19,-6.36
2010-06-30,20128.99,1.84
2010-07-31,21029.81,4.48
2010-08-31,20536.49,-2.35
2010-09-30,22358.17,8.87
2010-10-31,23096.32,3.3
2010-11-30,23007.99,-0.38
2010-12-31,23035.45,0.12
2011-01-31,23447.34,1.79
2011-02-28,23338.02,-0.47
2011-03-31,23527.52,0.81
2011-04-30,23720.81,0.82
2011-05-31,23684.13,-0.15
2011-06-30,22398.1,-5.43
2011-07-31,22440.25,0.19
2011-08-31,20534.85,-8.49
2011-09-30,17592.41,-14.33
2011-10-31,19864.87,12.92
2011-11-30,17989.35,-9.44
2011-12-31,18434.39,2.47
2012-01-31,20390.49,10.61
2012-02-29,21680.08,6.32
2012-03-31,20555.58,-5.19
2012-04-30,21094.21,2.62
2012-05-31,18629.52,-11.68
2012-06-30,19441.46,4.36
2012-07-31,19796.81,1.83
2012-08-31,19482.57,-1.59
2012-09-30,20840.38,6.97
2012-10-31,21641.82,3.85
2012-11-30,22030.39,1.8
2012-12-31,22656.92,2.84
2013-01-31,23729.53,4.73
2013-02-28,23020.27,-2.99
2013-03-31,22299.63,-3.13
2013-04-30,22737.01,1.96
2013-05-31,22392.16,-1.52
2013-06-30,20803.29,-7.1
2013-07-31,21883.66,5.19
2013-08-31,21731.37,-0.7
2013-09-30,22859.86,5.19
2013-10-31,23206.37,1.52
2013-11-30,23881.29,2.91
2013-12-31,23306.39,-2.41
2014-01-31,22035.42,-5.45
2014-02-28,22836.96,3.64
2014-03-31,22151.06,-3.0
2014-04-30,22133.97,-0.08
2014-05-31,23081.65,4.28
2014-06-30,23190.72,0.47
2014-07-31,24756.85,6.75
2014-08-31,24742.06,-0.06
2014-09-30,22932.98,-7.31
2014-10-31,23998.06,4.64
2014-11-30,23987.45,-0.04
2014-12-31,23605.04,-1.59
2015-01-31,24507.05,3.82
2015-02-28,24823.29,1.29
2015-03-31,24900.89,0.31
2015-04-30,28133.0,12.98
2015-05-31,27424.19,-2.52
2015-06-30,26250.03,-4.28
2015-07-31,24636.28,-6.15
2015-08-31,21670.58,-12.04
2015-09-30,20846.3,-3.8
2015-10-31,22640.04,8.6
2015-11-30,21996.42,-2.84
2015-12-31,21914.4,-0.37
2016-01-31,19683.11,-10.18
2016-02-29,19111.93,-2.9
2016-03-31,20776.7,8.71
2016-04-30,21067.05,1.4
2016-05-31,20815.09,-1.2
2016-06-30,20794.37,-0.1
2016-07-31,21891.37,5.28
2016-08-31,22976.88,4.96
2016-09-30,23297.15,1.39
2016-10-31,22934.54,-1.56
2016-11-30,22789.77,-0.63
2016-12-31,22000.56,-3.46
2017-01-31,23360.78,6.18
2017-02-28,23740.73,1.63
2017-03-31,24111.59,1.56
2017-04-30,24615.13,2.09
2017-05-31,25660.65,4.25
2017-06-30,25764.58,0.41
2017-07-31,27323.99,6.05
2017-08-31,27970.3,2.37
2017-09-30,27554.3,-1.49
2017-10-31,28245.54,2.51
2017-11-30,29177.35,3.3
2017-12-31,29919.15,2.54
2018-01-31,32887.27,9.92
2018-02-28,30844.72,-6.21
2018-03-31,30093.38,-2.44
2018-04-30,30808.45,2.38
2018-05-31,30468.56,-1.1
2018-06-30,28955.11,-4.97
2018-07-31,28583.01,-1.29
2018-08-31,27888.55,-2.43
2018-09-30,27788.52,-0.36
2018-10-31,24979.69,-10.11
2018-11-30,26506.75,6.11
2018-12-31,25845.7,-2.49
2019-01-31,27942.47,8.11
2019-02-28,28633.18,2.47
2019-03-31,29051.36,1.46
2019-04-30,29699.11,2.23
2019-05-31,26901.09,-9.42
2019-06-30,28542.62,6.1
2019-07-31,27777.75,-2.68
2019-08-31,25724.73,-7.39
2019-09-30,26092.27,1.43
2019-10-31,26906.72,3.12
2019-11-30,26346.49,-2.08
2019-12-31,28189.75,7.0
2020-01-31,26312.63,-6.66
2020-02-29,26129.93,-0.69
2020-03-31,23603.48,-9.67
2020-04-30,24643.59,4.41
2020-05-31,22961.47,-6.83
2020-06-30,24427.19,6.38
2020-07-31,24595.35,0.69
2020-08-31,25177.05,2.37
2020-09-30,23459.05,-6.82
2020-10-31,24107.42,2.76
2020-11-30,26341.49,9.27
2020-12-31,27231.13,3.38
2021-01-31,28283.71,3.87
2021-02-28,28980.21,2.46
2021-03-31,28378.35,-2.08
2021-04-30,28724.88,1.22
2021-05-31,29151.8,1.49
2021-06-30,28827.95,-1.11
2021-07-31,25961.03,-9.94
2021-08-31,25878.99,-0.32
2021-09-30,24575.64,-5.04
2021-10-31,25377.24,3.26
2021-11-30,23475.26,-7.49
2021-12-31,23397.67,-0.33
2022-01-31,23802.26,1.73
2022-02-28,22713.02,-4.58
2022-03-31,21996.85,-3.15
2022-04-30,21089.39,-4.13
2022-05-31,21415.2,1.54
2022-06-30,21859.79,2.08
2022-07-31,20156.51,-7.79
2022-08-31,19954.39,-1.0
2022-09-30,17222.83,-13.69
2022-10-31,14687.02,-14.72
2022-11-30,18597.23,26.62
2022-12-31,19781.41,6.37
2023-01-31,21842.33,10.42
2023-02-28,19785.94,-9.41
2023-03-31,20400.11,3.1
2023-04-30,19894.57,-2.48
2023-05-31,18234.27,-8.35
2023-06-30,18916.43,3.74
2023-07-31,20078.94,6.15
2023-08-31,18382.06,-8.45
2023-09-30,17809.66,-3.11
2023-10-31,17112.48,-3.91
2023-11-30,17042.88,-0.41
2023-12-31,17047.39,0.03
2024-01-31,15485.07,-9.16
2024-02-29,16511.44,6.63
2024-03-31,16541.42,0.18
2024-04-30,17763.03,7.39
2024-05-31,18079.61,1.78
2024-06-30,17718.61,-2.0
2024-07-31,17344.6,-2.11
2024-08-31,17989.07,3.72
2024-09-30,21133.68,17.48
2024-10-31,20317.33,-3.86
2024-11-30,19423.61,-4.4
2024-12-31,20059.95,3.28
2025-01-31,20225.11,0.82
2025-02-28,22941.32,13.43
2025-03-31,23119.58,0.78
2025-04-30,22119.41,-4.33
2025-05-31,23281.21,5.25
