Date,^GSPC,Rate
1929-11-17,20.3,-4.15
1929-11-24,21.53,6.06
1929-12-01,20.92,-2.83
1929-12-08,22.45,7.31
1929-12-15,21.7,-3.34
1929-12-22,20.16,-7.1
1929-12-29,20.82,3.27
1930-01-05,21.23,1.97
1930-01-12,21.55,1.51
1930-01-19,21.31,-1.11
1930-01-26,22.04,3.43
1930-02-02,22.79,3.4
1930-02-09,22.97,0.79
1930-02-16,23.35,1.65
1930-02-23,22.92,-1.84
1930-03-02,23.28,1.57
1930-03-09,23.59,1.33
1930-03-16,23.45,-0.59
1930-03-23,24.29,3.58
1930-03-30,24.85,2.31
1930-04-06,25.54,2.78
1930-04-13,25.84,1.17
1930-04-20,25.75,-0.35
1930-04-27,25.32,-1.67
1930-05-04,23.57,-6.91
1930-05-11,23.69,0.51
1930-05-18,24.28,2.49
1930-05-25,24.03,-1.03
1930-06-01,24.49,1.91
1930-06-08,23.52,-3.96
1930-06-15,22.26,-5.36
1930-06-22,20.25,-9.03
1930-06-29,19.81,-2.17
1930-07-06,20.25,2.22
1930-07-13,20.55,1.48
1930-07-20,21.77,5.94
1930-07-27,21.5,-1.24
1930-08-03,21.11,-1.81
1930-08-10,20.27,-3.98
1930-08-17,20.7,2.12
1930-08-24,20.79,0.43
1930-08-31,21.37,2.79
1930-09-07,21.34,-0.14
1930-09-14,21.5,0.75
1930-09-21,20.68,-3.81
1930-09-28,19.43,-6.04
1930-10-05,19.42,-0.05
1930-10-12,18.11,-6.75
1930-10-19,17.16,-5.25
1930-10-26,17.74,3.38
1930-11-02,16.94,-4.51
1930-11-09,16.09,-5.02
1930-11-16,16.89,4.97
1930-11-23,17.2,1.84
1930-11-30,16.38,-4.77
1930-12-07,16.43,0.31
1930-12-14,15.43,-6.09
1930-12-21,15.39,-0.26
1930-12-28,14.85,-3.51
1931-01-04,15.85,6.73
1931-01-11,16.07,1.39
1931-01-18,15.65,-2.61
1931-01-25,16.42,4.92
1931-02-01,16.19,-1.4
1931-02-08,16.27,0.49
1931-02-15,17.18,5.59
1931-02-22,17.71,3.08
1931-03-01,18.03,1.81
1931-03-08,17.32,-3.94
1931-03-15,17.32,0.0
1931-03-22,18.06,4.27
1931-03-29,17.21,-4.71
1931-04-05,16.45,-4.42
1931-04-12,16.46,0.06
1931-04-19,15.73,-4.43
1931-04-26,15.29,-2.8
1931-05-03,14.65,-4.19
1931-05-10,15.44,5.39
1931-05-17,14.44,-6.48
1931-05-24,13.94,-3.46
1931-05-31,13.02,-6.6
1931-06-07,13.4,2.92
1931-06-14,13.75,2.61
1931-06-21,13.22,-3.85
1931-06-28,15.35,16.11
1931-07-05,15.26,-0.59
1931-07-12,14.63,-4.13
1931-07-19,14.27,-2.46
1931-07-26,13.97,-2.1
1931-08-02,13.73,-1.72
1931-08-09,13.61,-0.87
1931-08-16,14.29,5.0
1931-08-23,13.86,-3.01
1931-08-30,13.99,0.94
1931-09-06,13.29,-5.0
1931-09-13,12.69,-4.51
1931-09-20,11.46,-9.69
1931-09-27,10.92,-4.71
1931-10-04,9.7,-11.17
1931-10-11,10.55,8.76
1931-10-18,10.36,-1.8
1931-10-25,10.84,4.63
1931-11-01,10.43,-3.78
1931-11-08,11.11,6.52
1931-11-15,10.72,-3.51
1931-11-22,9.85,-8.12
1931-11-29,9.31,-5.48
1931-12-06,9.02,-3.11
1931-12-13,8.31,-7.87
1931-12-20,8.36,0.6
1931-12-27,7.96,-4.78
1932-01-03,8.12,2.01
1932-01-10,8.57,5.54
1932-01-17,8.92,4.08
1932-01-24,8.21,-7.96
1932-01-31,7.94,-3.29
1932-02-07,7.78,-2.02
1932-02-14,8.12,4.37
1932-02-21,8.72,7.39
1932-02-28,8.34,-4.36
1932-03-06,8.72,4.56
1932-03-13,8.52,-2.29
1932-03-20,8.02,-5.87
1932-03-27,7.86,-2.0
1932-04-03,7.18,-8.65
1932-04-10,6.26,-12.81
1932-04-17,6.42,2.56
1932-04-24,5.96,-7.17
1932-05-01,5.83,-2.18
1932-05-08,6.09,4.46
1932-05-15,5.6,-8.05
1932-05-22,5.48,-2.14
1932-05-29,4.83,-11.86
1932-06-05,4.89,1.24
1932-06-12,4.92,0.61
1932-06-19,4.83,-1.83
1932-06-26,4.6,-4.76
1932-07-03,4.6,0.0
1932-07-10,4.41,-4.13
1932-07-17,4.93,11.79
1932-07-24,5.2,5.48
1932-07-31,6.03,15.96
1932-08-07,6.8,12.77
1932-08-14,7.0,2.94
1932-08-21,7.53,7.57
1932-08-28,8.39,11.42
1932-09-04,8.84,5.36
1932-09-11,8.75,-1.02
1932-09-18,7.57,-13.49
1932-09-25,8.4,10.96
1932-10-02,8.08,-3.81
1932-10-09,7.02,-13.12
1932-10-16,7.13,1.57
1932-10-23,6.82,-4.35
1932-10-30,7.09,3.96
1932-11-06,6.88,-2.96
1932-11-13,7.68,11.63
1932-11-20,7.13,-7.16
1932-11-27,6.78,-4.91
1932-12-04,6.47,-4.57
1932-12-11,7.08,9.43
1932-12-18,7.0,-1.13
1932-12-25,6.57,-6.14
1933-01-01,6.92,5.33
1933-01-08,7.23,4.48
1933-01-15,7.25,0.28
1933-01-22,7.06,-2.62
1933-01-29,7.04,-0.28
1933-02-05,6.53,-7.24
1933-02-12,6.66,1.99
1933-02-19,6.23,-6.46
1933-02-26,5.9,-5.3
1933-03-05,5.84,-1.02
1933-03-12,,
1933-03-19,6.63,
1933-03-26,6.25,-5.73
1933-04-02,5.85,-6.4
1933-04-09,6.12,4.62
1933-04-16,6.67,8.99
1933-04-23,7.44,11.54
1933-04-30,7.83,5.24
1933-05-07,8.74,11.62
1933-05-14,9.03,3.32
1933-05-21,8.82,-2.33
1933-05-28,9.34,5.9
1933-06-04,10.13,8.46
1933-06-11,10.41,2.76
1933-06-18,9.81,-5.76
1933-06-25,10.56,7.65
1933-07-02,10.91,3.31
1933-07-09,11.96,9.62
1933-07-16,11.85,-0.92
1933-07-23,9.65,-18.57
1933-07-30,10.43,8.08
1933-08-06,10.13,-2.88
1933-08-13,10.59,4.54
1933-08-20,10.58,-0.09
1933-08-27,11.28,6.62
1933-09-03,11.23,-0.44
1933-09-10,10.66,-5.08
1933-09-17,10.82,1.5
1933-09-24,10.26,-5.18
1933-10-01,9.72,-5.26
1933-10-08,10.05,3.4
1933-10-15,9.85,-1.99
1933-10-22,8.86,-10.05
1933-10-29,9.54,7.67
1933-11-05,9.54,0.0
1933-11-12,9.72,1.89
1933-11-19,9.92,2.06
1933-11-26,10.01,0.91
1933-12-03,9.91,-1.0
1933-12-10,10.1,1.92
1933-12-17,10.07,-0.3
1933-12-24,9.86,-2.09
1933-12-31,9.97,1.12
1934-01-07,9.81,-1.6
1934-01-14,10.07,2.65
1934-01-21,10.93,8.54
1934-01-28,11.02,0.82
1934-02-04,11.45,3.9
1934-02-11,11.18,-2.36
1934-02-18,11.54,3.22
1934-02-25,11.13,-3.55
1934-03-04,11.07,-0.54
1934-03-11,10.73,-3.07
1934-03-18,10.82,0.84
1934-03-25,10.53,-2.68
1934-04-01,10.62,0.85
1934-04-08,10.95,3.11
1934-04-15,10.95,0.0
1934-04-22,11.16,1.92
1934-04-29,10.8,-3.23
1934-05-06,10.32,-4.44
1934-05-13,9.55,-7.46
1934-05-20,9.85,3.14
1934-05-27,9.7,-1.52
1934-06-03,9.38,-3.3
1934-06-10,10.17,8.42
1934-06-17,10.23,0.59
1934-06-24,9.76,-4.59
1934-07-01,9.81,0.51
1934-07-08,9.91,1.02
1934-07-15,9.93,0.2
1934-07-22,9.47,-4.63
1934-07-29,8.6,-9.19
1934-08-05,8.9,3.49
1934-08-12,8.93,0.34
1934-08-19,9.06,1.46
1934-08-26,9.52,5.08
1934-09-02,9.15,-3.89
1934-09-09,8.92,-2.51
1934-09-16,8.47,-5.04
1934-09-23,8.95,5.67
1934-09-30,9.08,1.45
1934-10-07,9.0,-0.88
1934-10-14,9.19,2.11
1934-10-21,9.03,-1.74
1934-10-28,8.8,-2.55
1934-11-04,8.87,0.8
1934-11-11,9.3,4.85
1934-11-18,9.18,-1.29
1934-11-25,9.27,0.98
1934-12-02,9.54,2.91
1934-12-09,9.46,-0.84
1934-12-16,9.11,-3.7
1934-12-23,9.04,-0.77
1934-12-30,9.41,4.09
1935-01-06,9.51,1.06
1935-01-13,9.25,-2.73
1935-01-20,9.18,-0.76
1935-01-27,9.23,0.54
1935-02-03,9.05,-1.95
1935-02-10,9.03,-0.22
1935-02-17,9.06,0.33
1935-02-24,9.03,-0.33
1935-03-03,8.79,-2.66
1935-03-10,8.54,-2.84
1935-03-17,8.23,-3.63
1935-03-24,8.55,3.89
1935-03-31,8.45,-1.17
1935-04-07,8.78,3.91
1935-04-14,8.95,1.94
1935-04-21,9.14,2.12
1935-04-28,9.4,2.84
1935-05-05,9.42,0.21
1935-05-12,9.75,3.5
1935-05-19,10.01,2.67
1935-05-26,10.02,0.1
1935-06-02,9.58,-4.39
1935-06-09,9.9,3.34
1935-06-16,10.22,3.23
1935-06-23,10.38,1.57
1935-06-30,10.24,-1.35
1935-07-07,10.47,2.25
1935-07-14,10.62,1.43
1935-07-21,10.58,-0.38
1935-07-28,10.79,1.98
1935-08-04,10.95,1.48
1935-08-11,11.49,4.93
1935-08-18,10.62,-7.57
1935-08-25,11.56,8.85
1935-09-01,11.24,-2.77
1935-09-08,11.65,3.65
1935-09-15,11.8,1.29
1935-09-22,11.26,-4.58
1935-09-29,11.56,2.66
1935-10-06,11.36,-1.73
1935-10-13,11.75,3.43
1935-10-20,11.81,0.51
1935-10-27,12.43,5.25
1935-11-03,12.61,1.45
1935-11-10,12.92,2.46
1935-11-17,13.25,2.55
1935-11-24,13.14,-0.83
1935-12-01,12.94,-1.52
1935-12-08,13.15,1.62
1935-12-15,12.84,-2.36
1935-12-22,12.88,0.31
1935-12-29,13.11,1.79
1936-01-05,13.55,3.36
1936-01-12,13.78,1.7
1936-01-19,13.75,-0.22
1936-01-26,13.85,0.73
1936-02-02,14.31,3.32
1936-02-09,14.32,0.07
1936-02-16,14.66,2.37
1936-02-23,14.83,1.16
1936-03-01,14.6,-1.55
1936-03-08,15.1,3.42
1936-03-15,14.24,-5.7
1936-03-22,15.04,5.62
1936-03-29,14.82,-1.46
1936-04-05,15.27,3.04
1936-04-12,15.39,0.79
1936-04-19,15.1,-1.88
1936-04-26,14.44,-4.37
1936-05-03,13.87,-3.95
1936-05-10,13.9,0.22
1936-05-17,14.29,2.81
1936-05-24,14.09,-1.4
1936-05-31,14.4,2.2
1936-06-07,14.12,-1.94
1936-06-14,14.59,3.33
1936-06-21,14.83,1.64
1936-06-28,14.95,0.81
1936-07-05,15.02,0.47
1936-07-12,15.35,2.2
1936-07-19,15.66,2.02
1936-07-26,15.83,1.09
1936-08-02,15.85,0.13
1936-08-09,16.08,1.45
1936-08-16,15.87,-1.31
1936-08-23,15.32,-3.47
1936-08-30,15.92,3.92
1936-09-06,16.02,0.63
1936-09-13,16.11,0.56
1936-09-20,16.03,-0.5
1936-09-27,15.88,-0.94
1936-10-04,16.35,2.96
1936-10-11,16.87,3.18
1936-10-18,17.04,1.01
1936-10-25,17.09,0.29
1936-11-01,17.23,0.82
1936-11-08,17.43,1.16
1936-11-15,17.24,-1.09
1936-11-22,17.13,-0.64
1936-11-29,17.34,1.23
1936-12-06,17.01,-1.9
1936-12-13,17.14,0.76
1936-12-20,17.0,-0.82
1936-12-27,17.06,0.35
1937-01-03,17.18,0.7
1937-01-10,17.48,1.75
1937-01-17,17.74,1.49
1937-01-24,17.87,0.73
1937-01-31,17.77,-0.56
1937-02-07,17.86,0.51
1937-02-14,18.32,2.58
1937-02-21,18.37,0.27
1937-02-28,18.06,-1.69
1937-03-07,18.62,3.1
1937-03-14,18.36,-1.4
1937-03-21,17.72,-3.49
1937-03-28,17.68,-0.23
1937-04-04,17.49,-1.07
1937-04-11,17.03,-2.63
1937-04-18,17.16,0.76
1937-04-25,16.85,-1.81
1937-05-02,16.43,-2.49
1937-05-09,16.65,1.34
1937-05-16,15.81,-5.05
1937-05-23,16.27,2.91
1937-05-30,16.26,-0.06
1937-06-06,16.28,0.12
1937-06-13,15.73,-3.38
1937-06-20,15.51,-1.4
1937-06-27,15.52,0.06
1937-07-04,15.7,1.16
1937-07-11,16.32,3.95
1937-07-18,16.42,0.61
1937-07-25,16.94,3.17
1937-08-01,16.77,-1.0
1937-08-08,16.85,0.48
1937-08-15,17.27,2.49
1937-08-22,16.49,-4.52
1937-08-29,15.88,-3.7
1937-09-05,15.46,-2.64
1937-09-12,14.19,-8.21
1937-09-19,14.57,2.68
1937-09-26,13.2,-9.4
1937-10-03,13.72,3.94
1937-10-10,12.75,-7.07
1937-10-17,11.84,-7.14
1937-10-24,11.84,0.0
1937-10-31,12.35,4.31
1937-11-07,11.46,-7.21
1937-11-14,11.91,3.93
1937-11-21,10.51,-11.75
1937-11-28,10.67,1.52
1937-12-05,11.34,6.28
1937-12-12,11.1,-2.12
1937-12-19,11.0,-0.9
1937-12-26,11.06,0.55
1938-01-02,10.55,-4.61
1938-01-09,11.32,7.3
1938-01-16,11.7,3.36
1938-01-23,11.44,-2.22
1938-01-30,10.55,-7.78
1938-02-06,10.54,-0.09
1938-02-13,10.93,3.7
1938-02-20,11.02,0.82
1938-02-27,11.57,4.99
1938-03-06,11.13,-3.8
1938-03-13,10.58,-4.94
1938-03-20,10.19,-3.69
1938-03-27,9.35,-8.24
1938-04-03,8.91,-4.71
1938-04-10,9.62,7.97
1938-04-17,10.2,6.03
1938-04-24,10.45,2.45
1938-05-01,9.78,-6.41
1938-05-08,10.43,6.65
1938-05-15,10.26,-1.63
1938-05-22,9.96,-2.92
1938-05-29,9.28,-6.83
1938-06-05,9.42,1.51
1938-06-12,9.8,4.03
1938-06-19,9.67,-1.33
1938-06-26,11.15,15.31
1938-07-03,11.91,6.82
1938-07-10,11.89,-0.17
1938-07-17,12.0,0.93
1938-07-24,12.55,4.58
1938-07-31,12.33,-1.75
1938-08-07,12.66,2.68
1938-08-14,11.92,-5.85
1938-08-21,12.31,3.27
1938-08-28,12.5,1.54
1938-09-04,12.26,-1.92
1938-09-11,12.02,-1.96
1938-09-18,11.43,-4.91
1938-09-25,11.36,-0.61
1938-10-02,12.24,7.75
1938-10-09,12.85,4.98
1938-10-16,13.15,2.33
1938-10-23,13.25,0.76
1938-10-30,13.14,-0.83
1938-11-06,13.17,0.23
1938-11-13,13.7,4.02
1938-11-20,12.84,-6.28
1938-11-27,12.82,-0.16
1938-12-04,12.48,-2.65
1938-12-11,12.32,-1.28
1938-12-18,12.9,4.71
1938-12-25,12.81,-0.7
1939-01-01,13.14,2.58
1939-01-08,13.07,-0.53
1939-01-15,12.33,-5.66
1939-01-22,12.75,3.41
1939-01-29,11.86,-6.98
1939-02-05,12.3,3.71
1939-02-12,12.33,0.24
1939-02-19,12.4,0.57
1939-02-26,12.54,1.13
1939-03-05,12.86,2.55
1939-03-12,13.1,1.87
1939-03-19,12.21,-6.79
1939-03-26,12.07,-1.15
1939-04-02,10.98,-9.03
1939-04-09,10.66,-2.91
1939-04-16,10.63,-0.28
1939-04-23,10.96,3.1
1939-04-30,10.93,-0.27
1939-05-07,11.21,2.56
1939-05-14,11.21,0.0
1939-05-21,10.99,-1.96
1939-05-28,11.49,4.55
1939-06-04,11.48,-0.09
1939-06-11,11.8,2.79
1939-06-18,11.28,-4.41
1939-06-25,11.5,1.95
1939-07-02,10.86,-5.57
1939-07-09,11.13,2.49
1939-07-16,11.55,3.77
1939-07-23,12.09,4.68
1939-07-30,12.14,0.41
1939-08-06,11.9,-1.98
1939-08-13,11.56,-2.86
1939-08-20,11.33,-1.99
1939-08-27,11.09,-2.12
1939-09-03,11.3,1.89
1939-09-10,12.69,12.3
1939-09-17,13.07,2.99
1939-09-24,12.92,-1.15
1939-10-01,12.79,-1.01
1939-10-08,12.8,0.08
1939-10-15,12.74,-0.47
1939-10-22,12.94,1.57
1939-10-29,13.02,0.62
1939-11-05,12.95,-0.54
1939-11-12,12.64,-2.39
1939-11-19,12.75,0.87
1939-11-26,12.49,-2.04
1939-12-03,12.29,-1.6
1939-12-10,12.36,0.57
1939-12-17,12.4,0.32
1939-12-24,12.44,0.32
1939-12-31,12.46,0.16
1940-01-07,12.66,1.61
1940-01-14,12.13,-4.19
1940-01-21,12.15,0.16
1940-01-28,12.15,0.0
1940-02-04,12.06,-0.74
1940-02-11,12.37,2.57
1940-02-18,12.29,-0.65
1940-02-25,12.23,-0.49
1940-03-03,12.06,-1.39
1940-03-10,12.2,1.16
1940-03-17,12.07,-1.07
1940-03-24,12.14,0.58
1940-03-31,12.18,0.33
1940-04-07,12.48,2.46
1940-04-14,12.32,-1.28
1940-04-21,12.04,-2.27
1940-04-28,12.08,0.33
1940-05-05,12.12,0.33
1940-05-12,11.76,-2.97
1940-05-19,9.95,-15.39
1940-05-26,9.16,-7.94
1940-06-02,9.27,1.2
1940-06-09,9.34,0.76
1940-06-16,9.94,6.42
1940-06-23,9.91,-0.3
1940-06-30,9.98,0.71
1940-07-07,9.94,-0.4
1940-07-14,9.95,0.1
1940-07-21,9.97,0.2
1940-07-28,9.97,0.0
1940-08-04,10.25,2.81
1940-08-11,10.27,0.2
1940-08-18,9.84,-4.19
1940-08-25,10.19,3.56
1940-09-01,10.5,3.04
1940-09-08,10.85,3.33
1940-09-15,10.31,-4.98
1940-09-22,10.59,2.72
1940-09-29,10.58,-0.09
1940-10-06,10.78,1.89
1940-10-13,10.58,-1.86
1940-10-20,10.72,1.32
1940-10-27,10.73,0.09
1940-11-03,11.08,3.26
1940-11-10,11.23,1.35
1940-11-17,11.17,-0.53
1940-11-24,10.79,-3.4
1940-12-01,10.57,-2.04
1940-12-08,10.53,-0.38
1940-12-15,10.69,1.52
1940-12-22,10.41,-2.62
1940-12-29,10.44,0.29
1941-01-05,10.72,2.68
1941-01-12,10.86,1.31
1941-01-19,10.52,-3.13
1941-01-26,10.45,-0.67
1941-02-02,10.07,-3.64
1941-02-09,10.16,0.89
1941-02-16,9.53,-6.2
1941-02-23,9.76,2.41
1941-03-02,9.92,1.64
1941-03-09,9.9,-0.2
1941-03-16,9.98,0.81
1941-03-23,9.93,-0.5
1941-03-30,9.94,0.1
1941-04-06,10.14,2.01
1941-04-13,9.69,-4.44
1941-04-20,9.4,-2.99
1941-04-27,9.4,0.0
1941-05-04,9.33,-0.74
1941-05-11,9.45,1.29
1941-05-18,9.35,-1.06
1941-05-25,9.44,0.96
1941-06-01,9.38,-0.64
1941-06-08,9.49,1.17
1941-06-15,9.85,3.79
1941-06-22,9.76,-0.91
1941-06-29,9.89,1.33
1941-07-06,9.91,0.2
1941-07-13,10.28,3.73
1941-07-20,10.25,-0.29
1941-07-27,10.34,0.88
1941-08-03,10.34,0.0
1941-08-10,10.23,-1.06
1941-08-17,10.03,-1.96
1941-08-24,10.15,1.2
1941-08-31,10.28,1.28
1941-09-07,10.21,-0.68
1941-09-14,10.23,0.2
1941-09-21,10.29,0.59
1941-09-28,10.09,-1.94
1941-10-05,10.13,0.4
1941-10-12,9.84,-2.86
1941-10-19,9.62,-2.24
1941-10-26,9.82,2.08
1941-11-02,9.5,-3.26
1941-11-09,9.55,0.53
1941-11-16,9.3,-2.62
1941-11-23,9.38,0.86
1941-11-30,9.12,-2.77
1941-12-07,9.32,2.19
1941-12-14,8.73,-6.33
1941-12-21,8.49,-2.75
1941-12-28,8.42,-0.82
1942-01-04,8.89,5.58
1942-01-11,8.85,-0.45
1942-01-18,8.96,1.24
1942-01-25,8.84,-1.34
1942-02-01,8.85,0.11
1942-02-08,8.85,0.0
1942-02-15,8.62,-2.6
1942-02-22,8.47,-1.74
1942-03-01,8.59,1.42
1942-03-08,8.16,-5.01
1942-03-15,8.03,-1.59
1942-03-22,8.11,1.0
1942-03-29,8.05,-0.74
1942-04-05,8.11,0.75
1942-04-12,7.98,-1.6
1942-04-19,7.7,-3.51
1942-04-26,7.55,-1.95
1942-05-03,7.71,2.12
1942-05-10,7.89,2.33
1942-05-17,7.88,-0.13
1942-05-24,8.01,1.65
1942-05-31,8.15,1.75
1942-06-07,8.37,2.7
1942-06-14,8.32,-0.6
1942-06-21,8.4,0.96
1942-06-28,8.23,-2.02
1942-07-05,8.44,2.55
1942-07-12,8.8,4.27
1942-07-19,8.72,-0.91
1942-07-26,8.63,-1.03
1942-08-02,8.56,-0.81
1942-08-09,8.49,-0.82
1942-08-16,8.58,1.06
1942-08-23,8.71,1.52
1942-08-30,8.61,-1.15
1942-09-06,8.61,0.0
1942-09-13,8.54,-0.81
1942-09-20,8.66,1.41
1942-09-27,8.9,2.77
1942-10-04,9.05,1.69
1942-10-11,9.34,3.2
1942-10-18,9.35,0.11
1942-10-25,9.43,0.86
1942-11-01,9.36,-0.74
1942-11-08,9.58,2.35
1942-11-15,9.57,-0.1
1942-11-22,9.48,-0.94
1942-11-29,9.34,-1.48
1942-12-06,9.34,0.0
1942-12-13,9.37,0.32
1942-12-20,9.68,3.31
1942-12-27,9.74,0.62
1943-01-03,9.77,0.31
1943-01-10,9.92,1.54
1943-01-17,10.09,1.71
1943-01-24,10.17,0.79
1943-01-31,10.44,2.65
1943-02-07,10.51,0.67
1943-02-14,10.67,1.52
1943-02-21,10.64,-0.28
1943-02-28,10.97,3.1
1943-03-07,11.05,0.73
1943-03-14,11.05,0.0
1943-03-21,10.88,-1.54
1943-03-28,11.3,3.86
1943-04-04,11.56,2.3
1943-04-11,11.14,-3.63
1943-04-18,11.33,1.71
1943-04-25,11.48,1.32
1943-05-02,11.59,0.96
1943-05-09,11.81,1.9
1943-05-16,11.7,-0.93
1943-05-23,11.9,1.71
1943-05-30,12.05,1.26
1943-06-06,12.18,1.08
1943-06-13,12.08,-0.82
1943-06-20,11.96,-0.99
1943-06-27,12.21,2.09
1943-07-04,12.35,1.15
1943-07-11,12.41,0.49
1943-07-18,12.54,1.05
1943-07-25,12.51,-0.24
1943-08-01,11.85,-5.28
1943-08-08,11.63,-1.86
1943-08-15,11.84,1.81
1943-08-22,11.81,-0.25
1943-08-29,11.67,-1.19
1943-09-05,11.82,1.29
1943-09-12,11.93,0.93
1943-09-19,12.1,1.42
1943-09-26,12.1,0.0
1943-10-03,12.09,-0.08
1943-10-10,11.72,-3.06
1943-10-17,11.83,0.94
1943-10-24,11.89,0.51
1943-10-31,11.91,0.17
1943-11-07,11.59,-2.69
1943-11-14,11.29,-2.59
1943-11-21,11.3,0.09
1943-11-28,11.15,-1.33
1943-12-05,11.23,0.72
1943-12-12,11.49,2.32
1943-12-19,11.56,0.61
1943-12-26,11.61,0.43
1944-01-02,11.67,0.52
1944-01-09,11.87,1.71
1944-01-16,11.86,-0.08
1944-01-23,11.9,0.34
1944-01-30,11.81,-0.76
1944-02-06,11.6,-1.78
1944-02-13,11.74,1.21
1944-02-20,11.78,0.34
1944-02-27,11.8,0.17
1944-03-05,11.9,0.85
1944-03-12,12.1,1.68
1944-03-19,12.31,1.74
1944-03-26,12.13,-1.46
1944-04-02,12.02,-0.91
1944-04-09,12.04,0.17
1944-04-16,11.95,-0.75
1944-04-23,11.8,-1.26
1944-04-30,11.87,0.59
1944-05-07,12.08,1.77
1944-05-14,12.0,-0.66
1944-05-21,12.12,1.0
1944-05-28,12.22,0.83
1944-06-04,12.3,0.65
1944-06-11,12.27,-0.24
1944-06-18,12.82,4.48
1944-06-25,12.9,0.62
1944-07-02,12.98,0.62
1944-07-09,13.16,1.39
1944-07-16,13.23,0.53
1944-07-23,12.78,-3.4
1944-07-30,12.7,-0.63
1944-08-06,12.61,-0.71
1944-08-13,12.83,1.74
1944-08-20,13.04,1.64
1944-08-27,12.8,-1.84
1944-09-03,12.86,0.47
1944-09-10,12.41,-3.5
1944-09-17,12.45,0.32
1944-09-24,12.65,1.61
1944-10-01,12.74,0.71
1944-10-08,12.97,1.81
1944-10-15,13.02,0.39
1944-10-22,13.02,0.0
1944-10-29,12.75,-2.07
1944-11-05,12.89,1.1
1944-11-12,12.98,0.7
1944-11-19,12.67,-2.39
1944-11-26,12.75,0.63
1944-12-03,12.8,0.39
1944-12-10,13.09,2.27
1944-12-17,13.27,1.38
1944-12-24,13.12,-1.13
1944-12-31,13.28,1.22
1945-01-07,13.46,1.36
1945-01-14,13.64,1.34
1945-01-21,13.44,-1.47
1945-01-28,13.46,0.15
1945-02-04,13.6,1.04
1945-02-11,13.68,0.59
1945-02-18,14.05,2.7
1945-02-25,14.16,0.78
1945-03-04,14.23,0.49
1945-03-11,13.82,-2.88
1945-03-18,14.09,1.95
1945-03-25,13.74,-2.48
1945-04-01,13.61,-0.95
1945-04-08,13.77,1.18
1945-04-15,14.2,3.12
1945-04-22,14.49,2.04
1945-04-29,14.7,1.45
1945-05-06,14.92,1.5
